debate_audio_id,turn_id,speaker_raw,word,start_sec,end_sec
1003,1003_t0003,DUKAKIS,getting,197.79,198.05
1003,1003_t0003,DUKAKIS,that,198.05,198.47
1003,1003_t0003,DUKAKIS,support,198.47,198.87
1003,1003_t0003,DUKAKIS,and,199.73,199.82
1003,1003_t0003,DUKAKIS,do,199.82,199.86
1003,1003_t0003,DUKAKIS,it,199.86,199.89
1003,1003_t0003,DUKAKIS,in,199.89,199.96
1003,1003_t0003,DUKAKIS,a,199.96,200.02
1003,1003_t0003,DUKAKIS,way,200.02,200.34
1003,1003_t0003,DUKAKIS,which,200.34,200.97
1003,1003_t0003,DUKAKIS,will,201.31,201.49
1003,1003_t0003,DUKAKIS,bring,201.49,201.85
1003,1003_t0003,DUKAKIS,down,201.85,202.15
1003,1003_t0003,DUKAKIS,violence,202.15,202.52
1003,1003_t0003,DUKAKIS,in,202.52,202.58
1003,1003_t0003,DUKAKIS,this,202.58,202.73
1003,1003_t0003,DUKAKIS,nation,202.73,203.03
1003,1003_t0003,DUKAKIS,will,203.91,204.71
1003,1003_t0003,DUKAKIS,help,204.91,205.18
1003,1003_t0003,DUKAKIS,our,205.18,205.33
1003,1003_t0003,DUKAKIS,youngsters,205.33,205.82
1003,1003_t0003,DUKAKIS,to,205.82,205.93
1003,1003_t0003,DUKAKIS,stay,205.93,206.11
1003,1003_t0003,DUKAKIS,away,206.11,206.34
1003,1003_t0003,DUKAKIS,from,206.34,206.47
1003,1003_t0003,DUKAKIS,drugs,206.47,206.92
1003,1003_t0003,DUKAKIS,will,206.92,207.18
1003,1003_t0003,DUKAKIS,stop,207.49,207.96
1003,1003_t0003,DUKAKIS,this,207.96,208.16
1003,1003_t0003,DUKAKIS,avalanche,208.21,208.73
1003,1003_t0003,DUKAKIS,of,208.73,208.83
1003,1003_t0003,DUKAKIS,drugs,208.83,209.09
1003,1003_t0003,DUKAKIS,that's,209.09,209.21
1003,1003_t0003,DUKAKIS,pouring,209.21,209.45
1003,1003_t0003,DUKAKIS,into,209.45,209.55
1003,1003_t0003,DUKAKIS,the,209.55,209.61
1003,1003_t0003,DUKAKIS,country,209.61,210.2
1003,1003_t0003,DUKAKIS,and,210.2,210.44
1003,1003_t0003,DUKAKIS,will,211.39,211.53
1003,1003_t0003,DUKAKIS,make,211.53,211.81
